,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts
260,WR,Kenny Britt,4.759999847412108,4700,6.571428571428571,1,0,0,0,0,0,1,32
261,TE,Darren Fells,6.619999694824219,4700,9.857142857142858,1,0,0,0,0,1,0,37
262,WR,John Ross,-0.8000000119209291,4700,5.0,1,0,0,0,0,0,1,44
263,WR,Ricardo Louis,5.071428571428571,4700,6.571428571428571,1,0,0,0,0,0,1,32
264,WR,Jarius Wright,4.699999809265137,4700,5.857142857142858,0,0,0,0,0,0,1,10
265,WR,De'Anthony Thomas,3.4857142312186107,4700,6.833333333333332,1,0,0,0,0,0,1,14
266,RB,Rex Burkhead,6.46666653951009,4700,8.571428571428571,1,0,0,0,1,0,0,33
267,WR,Rashard Higgins,3.4166666666666665,4700,6.571428571428571,1,0,0,0,0,0,1,14
268,WR,Cole Beasley,5.549999872843426,4700,7.666666666666668,0,0,0,0,0,0,1,47
269,RB,Mike Tolbert,4.783333460489909,4700,3.571428571428572,1,0,0,0,1,0,0,20
270,WR,Ryan Grant,6.28333346048991,4700,6.333333333333332,1,0,0,0,0,0,1,34
271,TE,Julius Thomas,4.016666730244953,4700,10.714285714285714,0,0,0,0,0,1,0,43
272,RB,Taiwan Jones,0.8000000119209291,4700,3.571428571428572,1,0,0,0,1,0,0,31
273,WR,Paul Richardson,8.816666920979818,4700,9.333333333333334,1,0,0,0,0,0,1,38
274,WR,Bruce Ellington,5.64000015258789,4700,9.5,0,0,0,0,0,0,1,10
275,RB,Charles Sims,3.200000127156576,4600,7.428571428571429,1,0,0,0,1,0,0,12
276,WR,Brandon LaFell,4.850000063578288,4600,5.0,1,0,0,0,0,0,1,12
277,D,Atlanta Falcons,5.0,4600,5.142857142857143,0,1,0,0,0,0,0,8
278,K,Giorgio Tavecchio,7.571428571428571,4600,9.333333333333334,0,0,1,0,0,0,0,9
279,D,Buffalo Bills,9.333333333333334,4600,3.571428571428572,1,1,0,0,0,0,0,7
280,K,Connor Barth,4.428571428571429,4600,10.833333333333336,0,0,1,0,0,0,0,11
281,TE,Vance McDonald,1.5600000381469727,4600,13.0,0,0,0,0,0,1,0,19
282,WR,Dontrelle Inman,0.6333333253860474,4600,10.833333333333336,0,0,0,0,0,0,1,12
283,RB,Bobby Rainey,4.949999809265137,4600,6.666666666666668,1,0,0,0,1,0,0,17
284,WR,Breshad Perriman,0.7666666507720947,4600,6.666666666666668,1,0,0,0,0,0,1,18
285,K,Nick Rose,6.0,4600,6.333333333333332,1,0,1,0,0,0,0,40
286,K,Randy Bullock,6.8,4600,5.0,1,0,1,0,0,0,0,14
287,TE,Antonio Gates,3.4857142312186107,4600,5.0,0,0,0,0,0,1,0,35
288,K,Patrick Murray,6.0,4600,7.428571428571429,1,0,1,0,0,0,0,20
289,K,Chandler Catanzaro,8.142857142857142,4600,5.0,1,0,1,0,0,0,0,9
290,RB,Jacquizz Rodgers,5.133333206176758,4500,7.428571428571429,1,0,0,0,1,0,0,11
291,TE,Lee Smith,1.950000047683716,4500,9.333333333333334,0,0,0,0,0,1,0,13
292,TE,Rico Gathers,0.0,4500,7.666666666666668,0,0,0,0,0,1,0,29
293,WR,BJ Johnson III,0.0,4500,8.285714285714286,0,0,0,0,0,0,1,9
294,TE,Niles Paul,0.9499999880790709,4500,6.333333333333332,1,0,0,0,0,1,0,45
